UF,YearQuarter,y_true,proba_alta,classe_predita
11 Rondônia,2024Q4,0,0.012461692633158427,0
12 Acre,2024Q4,0,0.006131321615975648,0
13 Amazonas,2024Q4,0,0.023801510606022314,0
15 Pará,2024Q4,0,0.015240023561282592,0
16 Amapá,2024Q4,0,0.007102541593627587,0
17 Tocantins,2024Q4,0,0.004000541249214945,0
21 Maranhão,2024Q4,0,0.007236768364633163,0
22 Piauí,2024Q4,1,0.9999320494494673,1
23 Ceará,2024Q4,0,0.01629200835160649,0
24 Rio Grande do Norte,2024Q4,0,0.0020194916223266845,0
25 Paraíba,2024Q4,0,0.004958219595176403,0
26 Pernambuco,2024Q4,0,0.49829179694948283,0
27 Alagoas,2024Q4,1,1.0,1
28 Sergipe,2024Q4,0,0.004722753899261163,0
29 Bahia,2024Q4,0,0.8010644750567935,1
31 Minas Gerais,2024Q4,0,0.965946473832394,1
32 Espírito Santo,2024Q4,1,0.9060854395288489,1
33 Rio de Janeiro,2024Q4,1,0.986866894444697,1
35 São Paulo,2024Q4,1,1.0,1
41 Paraná,2024Q4,1,0.9902288986143336,1
42 Santa Catarina,2024Q4,0,0.02630095333356248,0
43 Rio Grande do Sul,2024Q4,1,0.9985180703326882,1
50 Mato Grosso do Sul,2024Q4,0,0.026926589559710477,0
51 Mato Grosso,2024Q4,0,0.02538429402644456,0
52 Goiás,2024Q4,0,0.015307874828146857,0
53 Distrito Federal,2024Q4,0,0.6011594118696297,1
